From	To	Species	Gene Name
ADAMTS5	ENSG00000154736	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 5(ADAMTS5)
IL1R2	ENSG00000115590	Homo sapiens	interleukin 1 receptor type 2(IL1R2)
TPPP3	ENSG00000159713	Homo sapiens	tubulin polymerization promoting protein family member 3(TPPP3)
IL1R1	ENSG00000115594	Homo sapiens	interleukin 1 receptor type 1(IL1R1)
EMCN	ENSG00000164035	Homo sapiens	endomucin(EMCN)
ACP5	ENSG00000102575	Homo sapiens	acid phosphatase 5, tartrate resistant(ACP5)
C1orf54	ENSG00000118292	Homo sapiens	chromosome 1 open reading frame 54(C1orf54)
SORCS3	ENSG00000156395	Homo sapiens	sortilin related VPS10 domain containing receptor 3(SORCS3)
HESX1	ENSG00000163666	Homo sapiens	HESX homeobox 1(HESX1)
CCDC102B	ENSG00000150636	Homo sapiens	coiled-coil domain containing 102B(CCDC102B)
SYBU	ENSG00000147642	Homo sapiens	syntabulin(SYBU)
HLA-DPB1	ENSG00000223865	Homo sapiens	major histocompatibility complex, class II, DP beta 1(HLA-DPB1)
PTCRA	ENSG00000171611	Homo sapiens	pre T-cell antigen receptor alpha(PTCRA)
UNC45B	ENSG00000141161	Homo sapiens	unc-45 myosin chaperone B(UNC45B)
IL23R	ENSG00000162594	Homo sapiens	interleukin 23 receptor(IL23R)
IL1RN	ENSG00000136689	Homo sapiens	interleukin 1 receptor antagonist(IL1RN)
TGFBR2	ENSG00000163513	Homo sapiens	transforming growth factor beta receptor 2(TGFBR2)
CD300E	ENSG00000186407	Homo sapiens	CD300e molecule(CD300E)
PCDH12	ENSG00000113555	Homo sapiens	protocadherin 12(PCDH12)
CD300C	ENSG00000167850	Homo sapiens	CD300c molecule(CD300C)
HGF	ENSG00000019991	Homo sapiens	hepatocyte growth factor(HGF)
ACPP	ENSG00000014257	Homo sapiens	acid phosphatase, prostate(ACPP)
APOL3	ENSG00000128284	Homo sapiens	apolipoprotein L3(APOL3)
CEACAM22P	ENSG00000230666	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 22, pseudogene(CEACAM22P)
CD207	ENSG00000116031	Homo sapiens	CD207 molecule(CD207)
CD300A	ENSG00000167851	Homo sapiens	CD300a molecule(CD300A)
CD209	ENSG00000090659	Homo sapiens	CD209 molecule(CD209)
WDR63	ENSG00000162643	Homo sapiens	WD repeat domain 63(WDR63)
PI3	ENSG00000124102	Homo sapiens	peptidase inhibitor 3(PI3)
ZNF385D	ENSG00000151789	Homo sapiens	zinc finger protein 385D(ZNF385D)
FCGBP	ENSG00000275395	Homo sapiens	Fc fragment of IgG binding protein(FCGBP)
MAP9	ENSG00000164114	Homo sapiens	microtubule associated protein 9(MAP9)
CD200	ENSG00000091972	Homo sapiens	CD200 molecule(CD200)
MSR1	ENSG00000038945	Homo sapiens	macrophage scavenger receptor 1(MSR1)
LTC4S	ENSG00000213316	Homo sapiens	leukotriene C4 synthase(LTC4S)
KCNK13	ENSG00000152315	Homo sapiens	potassium two pore domain channel subfamily K member 13(KCNK13)
RTN1	ENSG00000139970	Homo sapiens	reticulon 1(RTN1)
KCNK10	ENSG00000100433	Homo sapiens	potassium two pore domain channel subfamily K member 10(KCNK10)
NOD2	ENSG00000167207	Homo sapiens	nucleotide binding oligomerization domain containing 2(NOD2)
ZNF683	ENSG00000176083	Homo sapiens	zinc finger protein 683(ZNF683)
MAPT	ENSG00000186868	Homo sapiens	microtubule associated protein tau(MAPT)
LAG3	ENSG00000089692	Homo sapiens	lymphocyte activating 3(LAG3)
DPP4	ENSG00000197635	Homo sapiens	dipeptidyl peptidase 4(DPP4)
KCNG1	ENSG00000026559	Homo sapiens	potassium voltage-gated channel modifier subfamily G member 1(KCNG1)
ANGPT4	ENSG00000101280	Homo sapiens	angiopoietin 4(ANGPT4)
KCNG2	ENSG00000178342	Homo sapiens	potassium voltage-gated channel modifier subfamily G member 2(KCNG2)
ARHGEF4	ENSG00000136002	Homo sapiens	Rho guanine nucleotide exchange factor 4(ARHGEF4)
BATF3	ENSG00000123685	Homo sapiens	basic leucine zipper ATF-like transcription factor 3(BATF3)
CMKLR1	ENSG00000174600	Homo sapiens	chemerin chemokine-like receptor 1(CMKLR1)
CXorf57	ENSG00000147231	Homo sapiens	chromosome X open reading frame 57(CXorf57)
FOSB	ENSG00000125740	Homo sapiens	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)
GNAL	ENSG00000141404	Homo sapiens	G protein subunit alpha L(GNAL)
MAST1	ENSG00000105613	Homo sapiens	microtubule associated serine/threonine kinase 1(MAST1)
PLEKHH2	ENSG00000152527	Homo sapiens	pleckstrin homology, MyTH4 and FERM domain containing H2(PLEKHH2)
CCND2	ENSG00000118971	Homo sapiens	cyclin D2(CCND2)
RRM2	ENSG00000171848	Homo sapiens	ribonucleotide reductase regulatory subunit M2(RRM2)
GIPR	ENSG00000010310	Homo sapiens	gastric inhibitory polypeptide receptor(GIPR)
KCNH7	ENSG00000184611	Homo sapiens	potassium voltage-gated channel subfamily H member 7(KCNH7)
GLB1L2	ENSG00000149328	Homo sapiens	galactosidase beta 1 like 2(GLB1L2)
KCNH8	ENSG00000183960	Homo sapiens	potassium voltage-gated channel subfamily H member 8(KCNH8)
VMO1	ENSG00000182853	Homo sapiens	vitelline membrane outer layer 1 homolog(VMO1)
RASD1	ENSG00000108551	Homo sapiens	ras related dexamethasone induced 1(RASD1)
OTOA	ENSG00000155719	Homo sapiens	otoancorin(OTOA)
ALPL	ENSG00000162551	Homo sapiens	alkaline phosphatase, liver/bone/kidney(ALPL)
NKD1	ENSG00000140807	Homo sapiens	naked cuticle homolog 1(NKD1)
FFAR2	ENSG00000126262	Homo sapiens	free fatty acid receptor 2(FFAR2)
HIST1H2AE	ENSG00000277075	Homo sapiens	histone cluster 1 H2A family member e(HIST1H2AE)
GPR65	ENSG00000140030	Homo sapiens	G protein-coupled receptor 65(GPR65)
GPR68	ENSG00000119714	Homo sapiens	G protein-coupled receptor 68(GPR68)
CCL28	ENSG00000151882	Homo sapiens	C-C motif chemokine ligand 28(CCL28)
CCL22	ENSG00000102962	Homo sapiens	C-C motif chemokine ligand 22(CCL22)
PLEKHG1	ENSG00000120278	Homo sapiens	pleckstrin homology and RhoGEF domain containing G1(PLEKHG1)
CCL23	ENSG00000274736	Homo sapiens	C-C motif chemokine ligand 23(CCL23)
CCL20	ENSG00000115009	Homo sapiens	C-C motif chemokine ligand 20(CCL20)
CRISPLD1	ENSG00000121005	Homo sapiens	cysteine rich secretory protein LCCL domain containing 1(CRISPLD1)
PLEKHG7	ENSG00000187510	Homo sapiens	pleckstrin homology and RhoGEF domain containing G7(PLEKHG7)
KIRREL	ENSG00000183853	Homo sapiens	kin of IRRE like (Drosophila)(KIRREL)
KIR3DX1	ENSG00000104970	Homo sapiens	killer cell immunoglobulin like receptor, three Ig domains X1(KIR3DX1)
HK3	ENSG00000160883	Homo sapiens	hexokinase 3(HK3)
COL6A3	ENSG00000163359	Homo sapiens	collagen type VI alpha 3 chain(COL6A3)
COL6A2	ENSG00000142173	Homo sapiens	collagen type VI alpha 2 chain(COL6A2)
DFNB59	ENSG00000204311	Homo sapiens	deafness, autosomal recessive 59(DFNB59)
PCSK6	ENSG00000140479	Homo sapiens	proprotein convertase subtilisin/kexin type 6(PCSK6)
RASA3	ENSG00000185989	Homo sapiens	RAS p21 protein activator 3(RASA3)
PCSK5	ENSG00000099139	Homo sapiens	proprotein convertase subtilisin/kexin type 5(PCSK5)
ZBP1	ENSG00000124256	Homo sapiens	Z-DNA binding protein 1(ZBP1)
SOAT2	ENSG00000167780	Homo sapiens	sterol O-acyltransferase 2(SOAT2)
HAPLN3	ENSG00000140511	Homo sapiens	hyaluronan and proteoglycan link protein 3(HAPLN3)
CES1	ENSG00000198848	Homo sapiens	carboxylesterase 1(CES1)
CMTM2	ENSG00000140932	Homo sapiens	CKLF like MARVEL transmembrane domain containing 2(CMTM2)
SELL	ENSG00000188404	Homo sapiens	selectin L(SELL)
HIST1H2BG	ENSG00000273802	Homo sapiens	histone cluster 1 H2B family member g(HIST1H2BG)
CTLA4	ENSG00000163599	Homo sapiens	cytotoxic T-lymphocyte associated protein 4(CTLA4)
COL15A1	ENSG00000204291	Homo sapiens	collagen type XV alpha 1 chain(COL15A1)
DGKK	ENSG00000274588	Homo sapiens	diacylglycerol kinase kappa(DGKK)
CCL19	ENSG00000172724	Homo sapiens	C-C motif chemokine ligand 19(CCL19)
PDE3A	ENSG00000172572	Homo sapiens	phosphodiesterase 3A(PDE3A)
NID1	ENSG00000116962	Homo sapiens	nidogen 1(NID1)
PDZRN3	ENSG00000121440	Homo sapiens	PDZ domain containing ring finger 3(PDZRN3)
MXRA8	ENSG00000162576	Homo sapiens	matrix remodeling associated 8(MXRA8)
TTC16	ENSG00000167094	Homo sapiens	tetratricopeptide repeat domain 16(TTC16)
CCL18	ENSG00000275385	Homo sapiens	C-C motif chemokine ligand 18(CCL18)
CCL17	ENSG00000102970	Homo sapiens	C-C motif chemokine ligand 17(CCL17)
CCL11	ENSG00000172156	Homo sapiens	C-C motif chemokine ligand 11(CCL11)
P2RY13	ENSG00000181631	Homo sapiens	purinergic receptor P2Y13(P2RY13)
CCL13	ENSG00000181374	Homo sapiens	C-C motif chemokine ligand 13(CCL13)
P2RY10	ENSG00000078589	Homo sapiens	purinergic receptor P2Y10(P2RY10)
CCL14	ENSG00000276409	Homo sapiens	C-C motif chemokine ligand 14(CCL14)
SOST	ENSG00000167941	Homo sapiens	sclerostin(SOST)
ZNF860	ENSG00000197385	Homo sapiens	zinc finger protein 860(ZNF860)
P2RY14	ENSG00000174944	Homo sapiens	purinergic receptor P2Y14(P2RY14)
HTR2B	ENSG00000135914	Homo sapiens	5-hydroxytryptamine receptor 2B(HTR2B)
NMBR	ENSG00000135577	Homo sapiens	neuromedin B receptor(NMBR)
SELE	ENSG00000007908	Homo sapiens	selectin E(SELE)
ASPN	ENSG00000106819	Homo sapiens	asporin(ASPN)
PGLYRP1	ENSG00000008438	Homo sapiens	peptidoglycan recognition protein 1(PGLYRP1)
TNFSF15	ENSG00000181634	Homo sapiens	tumor necrosis factor superfamily member 15(TNFSF15)
TSPAN7	ENSG00000156298	Homo sapiens	tetraspanin 7(TSPAN7)
RRAD	ENSG00000166592	Homo sapiens	RRAD, Ras related glycolysis inhibitor and calcium channel regulator(RRAD)
TNFSF14	ENSG00000125735	Homo sapiens	tumor necrosis factor superfamily member 14(TNFSF14)
SLC7A5	ENSG00000103257	Homo sapiens	solute carrier family 7 member 5(SLC7A5)
CHAD	ENSG00000136457	Homo sapiens	chondroadherin(CHAD)
NRCAM	ENSG00000091129	Homo sapiens	neuronal cell adhesion molecule(NRCAM)
PRKAR2B	ENSG00000005249	Homo sapiens	protein kinase cAMP-dependent type II regulatory subunit beta(PRKAR2B)
DAB2	ENSG00000153071	Homo sapiens	DAB2, clathrin adaptor protein(DAB2)
SLC2A6	ENSG00000160326	Homo sapiens	solute carrier family 2 member 6(SLC2A6)
ELOVL4	ENSG00000118402	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
ST3GAL6	ENSG00000064225	Homo sapiens	ST3 beta-galactoside alpha-2,3-sialyltransferase 6(ST3GAL6)
ZNF442	ENSG00000198342	Homo sapiens	zinc finger protein 442(ZNF442)
CPA3	ENSG00000163751	Homo sapiens	carboxypeptidase A3(CPA3)
LONRF3	ENSG00000175556	Homo sapiens	LON peptidase N-terminal domain and ring finger 3(LONRF3)
SPON2	ENSG00000159674	Homo sapiens	spondin 2(SPON2)
FLVCR2	ENSG00000119686	Homo sapiens	feline leukemia virus subgroup C cellular receptor family member 2(FLVCR2)
FBP1	ENSG00000165140	Homo sapiens	fructose-bisphosphatase 1(FBP1)
HAL	ENSG00000084110	Homo sapiens	histidine ammonia-lyase(HAL)
DLL1	ENSG00000198719	Homo sapiens	delta like canonical Notch ligand 1(DLL1)
CECR7	ENSG00000237438	Homo sapiens	cat eye syndrome chromosome region, candidate 7 (non-protein coding)(CECR7)
NCAM1	ENSG00000149294	Homo sapiens	neural cell adhesion molecule 1(NCAM1)
TNFAIP6	ENSG00000123610	Homo sapiens	TNF alpha induced protein 6(TNFAIP6)
HHEX	ENSG00000152804	Homo sapiens	hematopoietically expressed homeobox(HHEX)
RENBP	ENSG00000102032	Homo sapiens	renin binding protein(RENBP)
THBD	ENSG00000178726	Homo sapiens	thrombomodulin(THBD)
DLL4	ENSG00000128917	Homo sapiens	delta like canonical Notch ligand 4(DLL4)
MNDA	ENSG00000163563	Homo sapiens	myeloid cell nuclear differentiation antigen(MNDA)
COL1A2	ENSG00000164692	Homo sapiens	collagen type I alpha 2 chain(COL1A2)
COL1A1	ENSG00000108821	Homo sapiens	collagen type I alpha 1 chain(COL1A1)
KIR3DL1	ENSG00000167633	Homo sapiens	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1(KIR3DL1)
KIR3DL2	ENSG00000240403	Homo sapiens	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2(KIR3DL2)
NGF	ENSG00000134259	Homo sapiens	nerve growth factor(NGF)
ACHE	ENSG00000087085	Homo sapiens	acetylcholinesterase (Cartwright blood group)(ACHE)
NKAIN2	ENSG00000188580	Homo sapiens	Na+/K+ transporting ATPase interacting 2(NKAIN2)
KCNA3	ENSG00000177272	Homo sapiens	potassium voltage-gated channel subfamily A member 3(KCNA3)
SLC38A11	ENSG00000169507	Homo sapiens	solute carrier family 38 member 11(SLC38A11)
KCNA5	ENSG00000130037	Homo sapiens	potassium voltage-gated channel subfamily A member 5(KCNA5)
TIMP3	ENSG00000100234	Homo sapiens	TIMP metallopeptidase inhibitor 3(TIMP3)
PDE6C	ENSG00000095464	Homo sapiens	phosphodiesterase 6C(PDE6C)
GPR27	ENSG00000170837	Homo sapiens	G protein-coupled receptor 27(GPR27)
TEK	ENSG00000120156	Homo sapiens	TEK receptor tyrosine kinase(TEK)
GPR25	ENSG00000170128	Homo sapiens	G protein-coupled receptor 25(GPR25)
ADAM33	ENSG00000149451	Homo sapiens	ADAM metallopeptidase domain 33(ADAM33)
ANGPTL1	ENSG00000116194	Homo sapiens	angiopoietin like 1(ANGPTL1)
PCYT1B	ENSG00000102230	Homo sapiens	phosphate cytidylyltransferase 1, choline, beta(PCYT1B)
KIAA1211	ENSG00000109265	Homo sapiens	KIAA1211(KIAA1211)
GPR20	ENSG00000204882	Homo sapiens	G protein-coupled receptor 20(GPR20)
ANGPTL4	ENSG00000167772	Homo sapiens	angiopoietin like 4(ANGPTL4)
SSX1	ENSG00000126752	Homo sapiens	SSX family member 1(SSX1)
MRC1	ENSG00000260314	Homo sapiens	mannose receptor, C type 1(MRC1)
ADAM28	ENSG00000042980	Homo sapiens	ADAM metallopeptidase domain 28(ADAM28)
TLR10	ENSG00000174123	Homo sapiens	toll like receptor 10(TLR10)
CACNA2D1	ENSG00000153956	Homo sapiens	calcium voltage-gated channel auxiliary subunit alpha2delta 1(CACNA2D1)
ADAM23	ENSG00000114948	Homo sapiens	ADAM metallopeptidase domain 23(ADAM23)
TNFRSF13B	ENSG00000240505	Homo sapiens	TNF receptor superfamily member 13B(TNFRSF13B)
CACNA2D3	ENSG00000157445	Homo sapiens	calcium voltage-gated channel auxiliary subunit alpha2delta 3(CACNA2D3)
CACNA2D2	ENSG00000007402	Homo sapiens	calcium voltage-gated channel auxiliary subunit alpha2delta 2(CACNA2D2)
TIGIT	ENSG00000181847	Homo sapiens	T-cell immunoreceptor with Ig and ITIM domains(TIGIT)
LAT	ENSG00000213658	Homo sapiens	linker for activation of T-cells(LAT)
SLC7A3	ENSG00000165349	Homo sapiens	solute carrier family 7 member 3(SLC7A3)
C1orf127	ENSG00000175262	Homo sapiens	chromosome 1 open reading frame 127(C1orf127)
CACNA1E	ENSG00000198216	Homo sapiens	calcium voltage-gated channel subunit alpha1 E(CACNA1E)
TPSAB1	ENSG00000172236	Homo sapiens	tryptase alpha/beta 1(TPSAB1)
XCL1	ENSG00000143184	Homo sapiens	X-C motif chemokine ligand 1(XCL1)
NKG7	ENSG00000105374	Homo sapiens	natural killer cell granule protein 7(NKG7)
XCL2	ENSG00000143185	Homo sapiens	X-C motif chemokine ligand 2(XCL2)
CACNA1D	ENSG00000157388	Homo sapiens	calcium voltage-gated channel subunit alpha1 D(CACNA1D)
MS4A14	ENSG00000166928	Homo sapiens	membrane spanning 4-domains A14(MS4A14)
KYNU	ENSG00000115919	Homo sapiens	kynureninase(KYNU)
LGALS9C	ENSG00000171916	Homo sapiens	galectin 9C(LGALS9C)
LGALS9B	ENSG00000170298	Homo sapiens	galectin 9B(LGALS9B)
IFI44L	ENSG00000137959	Homo sapiens	interferon induced protein 44 like(IFI44L)
FES	ENSG00000182511	Homo sapiens	FES proto-oncogene, tyrosine kinase(FES)
GPC4	ENSG00000076716	Homo sapiens	glypican 4(GPC4)
CCRL2	ENSG00000121797	Homo sapiens	C-C motif chemokine receptor like 2(CCRL2)
HEY1	ENSG00000164683	Homo sapiens	hes related family bHLH transcription factor with YRPW motif 1(HEY1)
HDC	ENSG00000140287	Homo sapiens	histidine decarboxylase(HDC)
ANO5	ENSG00000171714	Homo sapiens	anoctamin 5(ANO5)
LOXL3	ENSG00000115318	Homo sapiens	lysyl oxidase like 3(LOXL3)
FOSL1	ENSG00000175592	Homo sapiens	FOS like 1, AP-1 transcription factor subunit(FOSL1)
SGK1	ENSG00000118515	Homo sapiens	serum/glucocorticoid regulated kinase 1(SGK1)
TRPM6	ENSG00000119121	Homo sapiens	transient receptor potential cation channel subfamily M member 6(TRPM6)
SIT1	ENSG00000137078	Homo sapiens	signaling threshold regulating transmembrane adaptor 1(SIT1)
GPR19	ENSG00000183150	Homo sapiens	G protein-coupled receptor 19(GPR19)
GPR18	ENSG00000125245	Homo sapiens	G protein-coupled receptor 18(GPR18)
OTX1	ENSG00000115507	Homo sapiens	orthodenticle homeobox 1(OTX1)
PADI4	ENSG00000159339	Homo sapiens	peptidyl arginine deiminase 4(PADI4)
MAN1A1	ENSG00000111885	Homo sapiens	mannosidase alpha class 1A member 1(MAN1A1)
HMGA2	ENSG00000149948	Homo sapiens	high mobility group AT-hook 2(HMGA2)
SIGLEC1	ENSG00000088827	Homo sapiens	sialic acid binding Ig like lectin 1(SIGLEC1)
ADRB2	ENSG00000169252	Homo sapiens	adrenoceptor beta 2(ADRB2)
SIGLEC5	ENSG00000268500	Homo sapiens	sialic acid binding Ig like lectin 5(SIGLEC5)
SIGLEC5	ENSG00000105501	Homo sapiens	sialic acid binding Ig like lectin 5(SIGLEC5)
LCK	ENSG00000182866	Homo sapiens	LCK proto-oncogene, Src family tyrosine kinase(LCK)
UGT2B11	ENSG00000213759	Homo sapiens	UDP glucuronosyltransferase family 2 member B11(UGT2B11)
PDE9A	ENSG00000160191	Homo sapiens	phosphodiesterase 9A(PDE9A)
PLLP	ENSG00000102934	Homo sapiens	plasmolipin(PLLP)
INPP4B	ENSG00000109452	Homo sapiens	inositol polyphosphate-4-phosphatase type II B(INPP4B)
TREM1	ENSG00000124731	Homo sapiens	triggering receptor expressed on myeloid cells 1(TREM1)
TREM2	ENSG00000095970	Homo sapiens	triggering receptor expressed on myeloid cells 2(TREM2)
TSHR	ENSG00000165409	Homo sapiens	thyroid stimulating hormone receptor(TSHR)
VPREB3	ENSG00000128218	Homo sapiens	pre-B lymphocyte 3(VPREB3)
DCN	ENSG00000011465	Homo sapiens	decorin(DCN)
CDH2	ENSG00000170558	Homo sapiens	cadherin 2(CDH2)
NAALADL1	ENSG00000168060	Homo sapiens	N-acetylated alpha-linked acidic dipeptidase like 1(NAALADL1)
CCNJL	ENSG00000135083	Homo sapiens	cyclin J like(CCNJL)
CDH5	ENSG00000179776	Homo sapiens	cadherin 5(CDH5)
VCAM1	ENSG00000162692	Homo sapiens	vascular cell adhesion molecule 1(VCAM1)
REN	ENSG00000143839	Homo sapiens	renin(REN)
HSPA6	ENSG00000173110	Homo sapiens	heat shock protein family A (Hsp70) member 6(HSPA6)
ADAMTS10	ENSG00000142303	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 10(ADAMTS10)
FBN2	ENSG00000138829	Homo sapiens	fibrillin 2(FBN2)
COL8A1	ENSG00000144810	Homo sapiens	collagen type VIII alpha 1 chain(COL8A1)
COL8A2	ENSG00000171812	Homo sapiens	collagen type VIII alpha 2 chain(COL8A2)
MS4A6A	ENSG00000110077	Homo sapiens	membrane spanning 4-domains A6A(MS4A6A)
MS4A4A	ENSG00000110079	Homo sapiens	membrane spanning 4-domains A4A(MS4A4A)
COL4A4	ENSG00000081052	Homo sapiens	collagen type IV alpha 4 chain(COL4A4)
COL4A3	ENSG00000169031	Homo sapiens	collagen type IV alpha 3 chain(COL4A3)
SLC2A9	ENSG00000109667	Homo sapiens	solute carrier family 2 member 9(SLC2A9)
RNASE2	ENSG00000169385	Homo sapiens	ribonuclease A family member 2(RNASE2)
COL4A1	ENSG00000187498	Homo sapiens	collagen type IV alpha 1 chain(COL4A1)
FLT1	ENSG00000102755	Homo sapiens	fms related tyrosine kinase 1(FLT1)
SLC12A1	ENSG00000074803	Homo sapiens	solute carrier family 12 member 1(SLC12A1)
COL13A1	ENSG00000197467	Homo sapiens	collagen type XIII alpha 1 chain(COL13A1)
FLT3	ENSG00000122025	Homo sapiens	fms related tyrosine kinase 3(FLT3)
SLC12A3	ENSG00000070915	Homo sapiens	solute carrier family 12 member 3(SLC12A3)
FLT4	ENSG00000037280	Homo sapiens	fms related tyrosine kinase 4(FLT4)
HCK	ENSG00000101336	Homo sapiens	HCK proto-oncogene, Src family tyrosine kinase(HCK)
RNASE6	ENSG00000169413	Homo sapiens	ribonuclease A family member k6(RNASE6)
IDO2	ENSG00000188676	Homo sapiens	indoleamine 2,3-dioxygenase 2(IDO2)
DPYSL3	ENSG00000113657	Homo sapiens	dihydropyrimidinase like 3(DPYSL3)
CREB5	ENSG00000146592	Homo sapiens	cAMP responsive element binding protein 5(CREB5)
IDO1	ENSG00000131203	Homo sapiens	indoleamine 2,3-dioxygenase 1(IDO1)
DACH1	ENSG00000276644	Homo sapiens	dachshund family transcription factor 1(DACH1)
TSPAN18	ENSG00000157570	Homo sapiens	tetraspanin 18(TSPAN18)
RCAN2	ENSG00000172348	Homo sapiens	regulator of calcineurin 2(RCAN2)
MAN1C1	ENSG00000117643	Homo sapiens	mannosidase alpha class 1C member 1(MAN1C1)
ANXA3	ENSG00000138772	Homo sapiens	annexin A3(ANXA3)
LEP	ENSG00000174697	Homo sapiens	leptin(LEP)
IFIT3	ENSG00000119917	Homo sapiens	interferon induced protein with tetratricopeptide repeats 3(IFIT3)
IFIT2	ENSG00000119922	Homo sapiens	interferon induced protein with tetratricopeptide repeats 2(IFIT2)
IFIT1	ENSG00000185745	Homo sapiens	interferon induced protein with tetratricopeptide repeats 1(IFIT1)
PNOC	ENSG00000168081	Homo sapiens	prepronociceptin(PNOC)
FEZ1	ENSG00000149557	Homo sapiens	fasciculation and elongation protein zeta 1(FEZ1)
LYPD2	ENSG00000197353	Homo sapiens	LY6/PLAUR domain containing 2(LYPD2)
TEX101	ENSG00000131126	Homo sapiens	testis expressed 101(TEX101)
CYP24A1	ENSG00000019186	Homo sapiens	cytochrome P450 family 24 subfamily A member 1(CYP24A1)
NOG	ENSG00000183691	Homo sapiens	noggin(NOG)
ADORA3	ENSG00000282608	Homo sapiens	adenosine A3 receptor(ADORA3)
AQP9	ENSG00000103569	Homo sapiens	aquaporin 9(AQP9)
S100A8	ENSG00000143546	Homo sapiens	S100 calcium binding protein A8(S100A8)
SNCA	ENSG00000145335	Homo sapiens	synuclein alpha(SNCA)
S100A9	ENSG00000163220	Homo sapiens	S100 calcium binding protein A9(S100A9)
POSTN	ENSG00000133110	Homo sapiens	periostin(POSTN)
AQP1	ENSG00000240583	Homo sapiens	aquaporin 1 (Colton blood group)(AQP1)
DNASE1L3	ENSG00000163687	Homo sapiens	deoxyribonuclease 1 like 3(DNASE1L3)
FAM124B	ENSG00000124019	Homo sapiens	family with sequence similarity 124 member B(FAM124B)
CFP	ENSG00000126759	Homo sapiens	complement factor properdin(CFP)
NOV	ENSG00000136999	Homo sapiens	nephroblastoma overexpressed(NOV)
S1PR3	ENSG00000213694	Homo sapiens	sphingosine-1-phosphate receptor 3(S1PR3)
LILRA1	ENSG00000104974	Homo sapiens	leukocyte immunoglobulin like receptor A1(LILRA1)
SHD	ENSG00000105251	Homo sapiens	Src homology 2 domain containing transforming protein D(SHD)
LILRA2	ENSG00000239998	Homo sapiens	leukocyte immunoglobulin like receptor A2(LILRA2)
CLEC4E	ENSG00000166523	Homo sapiens	C-type lectin domain family 4 member E(CLEC4E)
LILRA3	ENSG00000275841	Homo sapiens	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA3	ENSG00000276175	Homo sapiens	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA3	ENSG00000278046	Homo sapiens	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA3	ENSG00000273884	Homo sapiens	leukocyte immunoglobulin like receptor A3(LILRA3)
LILRA4	ENSG00000239961	Homo sapiens	leukocyte immunoglobulin like receptor A4(LILRA4)
S1PR5	ENSG00000180739	Homo sapiens	sphingosine-1-phosphate receptor 5(S1PR5)
LILRA5	ENSG00000187116	Homo sapiens	leukocyte immunoglobulin like receptor A5(LILRA5)
CLEC4A	ENSG00000111729	Homo sapiens	C-type lectin domain family 4 member A(CLEC4A)
CFH	ENSG00000000971	Homo sapiens	complement factor H(CFH)
CLEC4C	ENSG00000198178	Homo sapiens	C-type lectin domain family 4 member C(CLEC4C)
CLEC4D	ENSG00000166527	Homo sapiens	C-type lectin domain family 4 member D(CLEC4D)
TWIST2	ENSG00000233608	Homo sapiens	twist family bHLH transcription factor 2(TWIST2)
CRISP3	ENSG00000096006	Homo sapiens	cysteine rich secretory protein 3(CRISP3)
PMCH	ENSG00000183395	Homo sapiens	pro-melanin concentrating hormone(PMCH)
HKDC1	ENSG00000156510	Homo sapiens	hexokinase domain containing 1(HKDC1)
MDGA2	ENSG00000139915	Homo sapiens	MAM domain containing glycosylphosphatidylinositol anchor 2(MDGA2)
GSTT1	ENSG00000277656	Homo sapiens	glutathione S-transferase theta 1(GSTT1)
LILRB1	ENSG00000104972	Homo sapiens	leukocyte immunoglobulin like receptor B1(LILRB1)
LILRB2	ENSG00000131042	Homo sapiens	leukocyte immunoglobulin like receptor B2(LILRB2)
GPBAR1	ENSG00000179921	Homo sapiens	G protein-coupled bile acid receptor 1(GPBAR1)
CD40LG	ENSG00000102245	Homo sapiens	CD40 ligand(CD40LG)
HTR7	ENSG00000148680	Homo sapiens	5-hydroxytryptamine receptor 7(HTR7)
CX3CR1	ENSG00000168329	Homo sapiens	C-X3-C motif chemokine receptor 1(CX3CR1)
PDGFRA	ENSG00000134853	Homo sapiens	platelet derived growth factor receptor alpha(PDGFRA)
PDGFRB	ENSG00000113721	Homo sapiens	platelet derived growth factor receptor beta(PDGFRB)
EFNA5	ENSG00000184349	Homo sapiens	ephrin A5(EFNA5)
LAMC2	ENSG00000058085	Homo sapiens	laminin subunit gamma 2(LAMC2)
VSIG4	ENSG00000155659	Homo sapiens	V-set and immunoglobulin domain containing 4(VSIG4)
CLEC5A	ENSG00000258227	Homo sapiens	C-type lectin domain family 5 member A(CLEC5A)
RFESD	ENSG00000175449	Homo sapiens	Rieske Fe-S domain containing(RFESD)
TDRD6	ENSG00000180113	Homo sapiens	tudor domain containing 6(TDRD6)
ENPP3	ENSG00000154269	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 3(ENPP3)
FCER2	ENSG00000104921	Homo sapiens	Fc fragment of IgE receptor II(FCER2)
